27	1	0	0	0	[무역] 긴급한 배달 임무	[Ticaret] Acil Teslimat Görevi	Current	
27	1	0	0	1	의문의 주민으로부터 우리 길드에 긴급한 배달 임무가 들어왔다.	Bir köylü, acil bir görev için yardım istedi.	Current	
27	1	0	0	2	하이델의 라라에게 가정용 약탕기 배달;하이델의 러비오스에게 나무 정령의 씨앗 배달;벨리아의 다비드 핀토에게 일리야산 소금 항아리 배달;	Heidel’de Lara’ya Ev İlaç Demliği teslim et;Heidel’de Lebyos’a Ağaç Ruhu Tohumu teslim et;Velia’ya David Finto’ya Iliya Tuz Fıçısı teslim et;	Current	
27	2	0	0	0	[무역] 긴급한 배달 임무	[Ticaret] Acil Teslimat Görevi	Current	
27	2	0	0	1	의문의 주민으로부터 우리 길드에 긴급한 배달 임무가 들어왔다.	Bir köylü, acil bir görev için yardım istedi.	Current	
27	2	0	0	2	칼페온의 루빈에게 소망 방패연 배달;칼페온의 카이아 페레시오에게 프레하라우의 마른 진흙 배달;플로린의 이젤라에게 샤이족 전통모자 배달;	Calpheon’da Rubin’e Dilek Uçurtması teslim et;Calpheon’da Kaia Feresio’ya Freharau’nun Kuru Çamuru teslim et;Florin’de Izella’ya Shai Geleneksel Şapkası teslim et;	Current	
27	3	0	0	0	[무역] 긴급한 배달 임무	[Ticaret] Acil Teslimat Görevi	Current	
27	3	0	0	1	의문의 주민으로부터 우리 길드에 긴급한 배달 임무가 들어왔다.	Bir köylü, acil bir görev için yardım istedi.	Current	
27	3	0	0	2	칼페온의 볼커 바시안에게 바탈리의 기묘한 모험 배달;하이델의 멜리사 브레디에게 신선한 포건 알 배달;케플란의 릴바노스에게 하이델 기사 무술 교본 배달;	Calpheon’da Balker Batian’a Bartali’nin Garip Macerasını teslim et;Heidel’de Melissa Brady’e Taze Fogan Yumurtası teslim et;Keplan’da Lilvanos’a Heidel Şövalyeleri Dövüş Sanatları El Kitabı teslim et;	Current	
27	4	0	0	0	[무역] 긴급한 배달 임무	[Ticaret] Acil Teslimat Görevi	Current	
27	4	0	0	1	의문의 주민으로부터 우리 길드에 긴급한 배달 임무가 들어왔다.	Bir köylü, acil bir görev için yardım istedi.	Current	
